label;English
1055;pacifier
1137;Labelle sunglasses
1148;Nook Inc. eye mask
1182;DAL eye mask
1183;DAL sunglasses
1225;pirate eye patch
1226;pirate beard
1271;animal nose
1300;Nook Inc. snorkel
184;beak
185;handlebar mustache
257;rimmed glasses
258;square glasses
259;heart shades
260;browline glasses
261;octagonal glasses
262;star shades
263;round shades
264;triangle shades
277;double-bridge glasses
286;glass-bottle glasses
315;shattered glasses
358;eye mask
375;doctor's mask
376;post-op patch
377;ski goggles
378;goggles
379;retro shades
380;eye patch
381;sporty shades
382;pilot shades
383;tortoise specs
384;tiny shades
385;monocle
386;3D glasses
387;ladder shades
397;cat nose
405;cucumber pack
407;fake nose
408;stache & glasses
415;birthday shades
417;facial mask
418;funny glasses
432;snorkel mask
433;cyber shades
463;bottom-rimmed glasses
466;bunny nose
473;round tinted shades
474;butterfly shades
475;oval glasses
484;pixel shades
485;pig nose
487;gas mask
489;sticky rice
494;masquerade mask
496;wooden-frame glasses
497;privacy mask
498;curly mustache
502;goatee
503;bandage
504;jester's mask
505;rounded beard
508;leaf
509;rhinestone shades
510;superhero mask
511;steampunk glasses
614;HMD
615;night-vision goggles
630;dog nose
819;candy-skull mask
856;bubblegum
857;flower sunglasses
865;drinking-straw glasses
899;nose drip
904;food mess
921;reflector
922;pleather mask
