label;English
047;stockings
048;fishnet tights
1002;vivid socks
1049;semi-opaque tights
1050;everyday tights
1051;vivid tights
1052;neon tights
1053;vivid leggings
1054;neon leggings
1059;everyday socks
1060;semi-opaque socks
1133;Labelle tights
1134;Labelle socks
1144;Nook Inc. socks
1188;dotted knee-high socks
1189;simple knee-high socks
1275;horizontal-striped tights
1286;Kiki & Lala socks
1296;Kerokerokeroppi socks
519;back-bow socks
535;no-show socks
536;Aran-knit socks
537;sequin leggings
538;stretch leggings
539;denim leggings
540;tube socks
541;garter socks
542;nordic socks
543;tabi
600;ultra no-show socks
601;mixed-tweed socks
602;leg warmers
603;compression tights
604;bobby socks
605;frilly knee-high socks
606;lace socks
607;frilly socks
608;holey tights
609;soccer socks
610;holey socks
611;pom-pom socks
612;color-blocked socks
613;terry-cloth socks
619;layered socks
620;hand-knit socks
621;aerobics leggings
622;puckered socks
623;striped socks
624;simple-accent socks
625;kiddie socks
626;crocheted socks
627;spider-web tights
628;embroidered-flower tights
629;running tights
723;funny-face socks
749;geometric-print socks
879;flowery-dot tights
880;argyle crew socks
886;sheer socks
887;wave-print socks
926;country socks
927;striped tights
928;patterned stockings
