label;English
006;striped shirt
008;mountain parka
013;peacoat
018;trench coat
019;kung-fu tee
021;letter jacket
022;three-ball tee
023;two-ball tee
025;layered tank
026;silk shirt
027;raglan shirt
033;basketball tank
035;hand-knit tank
037;down jacket
040;dress shirt
042;sailor's tee
043;simple parka
044;kids' smock
056;graduation gown
059;short-sleeve dress shirt
060;sleeveless dress shirt
062;sea captain's coat
064;hanten jacket
070;raincoat
071;noble coat
072;polo shirt
073;doctor's coat
074;chef's outfit
075;café uniform
076;gym tee
077;tank
078;comedian's outfit
079;biker jacket
080;garden tank
081;denim jacket
082;rubber apron
083;fishing vest
084;faux-shearling coat
085;flannel shirt
086;denim vest
087;apron
088;military uniform
090;cavalier shirt
091;pineapple aloha shirt
092;lacy tank
093;athletic jacket
094;western shirt
095;relay tank
096;silk floral-print shirt
097;soccer-uniform top
098;tiger jacket
099;happi tee
100;dragon jacket
1005;MVP tee
1006;No. 1 shirt
101;camo tee
102;cycling shirt
1021;danger tank
1022;heart sweater
1023;tree sweater
1024;frog tee
1025;bear tee
1026;rabbit tee
1027;animal-stripes tee
1028;leopard tee
1029;bone tee
103;chick tee
1030;misty tee
1031;marble-dots tee
1032;simple-dots tee
1033;zigzag shirt
1034;blossom tee
1035;bold aloha shirt
1036;spider-web tee
1037;skull tee
1038;A tee
1046;starry tank
1047;flame tee
1056;Mom's hand-knit sweater
1057;Mom's handmade apron
1058;simple knit sweater
106;argyle vest
1062;viking top
1063;dotted raincoat
1066;diner apron
107;explorer shirt
1072;printed layered shirt
1074;printed-sleeve sweater
1078;plaid puffed-sleeve shirt
1079;dolly shirt
108;flashy jacket
1081;work apron
1082;botanical tee
1083;groovy shirt
109;work shirt
110;sushi chef's outfit
111;emblem blazer
112;royal shirt
1126;Labelle knit shirt
1127;Labelle coat
1140;Nook Inc. blouson
1141;Nook Inc. aloha shirt
1146;big-star tee
1149;Nook Inc. tee
1151;bug aloha shirt
1152;fish-print tee
1154;terry-cloth nightgown
1160;plushie-muffler coat
1165;No. 2 shirt
1166;No. 3 shirt
1167;No. 4 shirt
1168;konnichiwa tee
1169;bonjour tee
1170;hello tee
1171;annyeong tee
1172;ni hao tee
1173;hallo tee
1174;ciao tee
1175;hola tee
1176;privét tee
1177;hi tee
1178;hoi tee
1179;DAL tee
1180;DAL apron
1181;DAL pilot jacket
1193;OK Motors jacket
1194;camper tee
1220;handmade cape
1246;winter-solstice sweater
1256;coral Nook Inc. aloha shirt
1257;green Nook Inc. aloha shirt
130;color-block dress shirt
131;one-ball tee
132;four-ball tee
133;five-ball tee
134;six-ball tee
135;seven-ball tee
136;eight-ball tee
137;nine-ball tee
138;sweater on shirt
139;track jacket
143;waistcoat
147;nurse's jacket
151;striped tank
156;tuxedo jacket
159;morning coat
177;tailored jacket
179;sweater-vest
191;kanji tee
194;cardigan-shirt combo
195;argyle sweater
196;flower sweater
197;tennis sweater
206;yodel sweater
207;snowy sweater
208;yodel cardigan
209;Aran-knit sweater
210;dreamy sweater
212;Aran-knit cardigan
217;collarless coat
218;thick-stripes shirt
220;sweatshirt
222;henley shirt
223;gilet and shirt
224;vertical-stripes shirt
225;coverall coat
228;guayabera shirt
229;short peacoat
230;collarless shirt
231;heavy-duty shirt
233;bowling shirt
234;V-neck sweater
237;boa fleece
238;tweed jacket
241;layered shirt
242;lacy shirt
243;chesterfield coat
244;checkered chesterfield coat
246;oversized shawl overshirt
249;young-royal shirt
250;fitness tank
251;flight jacket
252;tie-dye shirt
253;fuzzy vest
254;quilted down jacket
266;peasant blouse
271;tube top
281;muscle tank
284;striped tee
285;puffy vest
288;nylon jacket
289;gown coat
290;plover cardigan
292;pocket tee
298;tight-knit sweater
300;college cardigan
303;front-tie tee
306;gold-print tee
316;text shirt
319;hawk jacket
326;business suitcoat
328;school jacket
329;after-school jacket
330;poncho coat
337;vampire costume
341;bomber-style jacket
342;camo bomber-style jacket
346;sea hanten shirt
350;faux-hair sweater
351;space parka
352;baseball shirt
353;parka undercoat
354;workout top
355;mod parka
356;tee-parka combo
360;heart apron
364;prince's tunic
366;safety vest
367;tailcoat
370;folk shirt
371;football shirt
372;skiwear
388;animal-print coat
392;retro coat
400;hula top
402;groovy tunic
410;career jacket
414;Chimayo vest
423;kurta
425;pullover jacket
428;tweed vest
434;checkered muffler
438;hip-wrap shirt
440;sparkly embroidered tank
443;pleather trench coat
444;reindeer sweater
445;front-tie button-down shirt
447;top coat
448;retro sweater
449;cowboy shirt
451;sweetheart tank and shirt
461;rainbow sweater
464;boa blouson
465;sleeveless tunic
467;coatigan
471;patchwork coat
476;earbuds combo
479;colorful striped sweater
481;madras plaid shirt
493;poncho-style sweater
495;tunic tank
501;ribbon-straps tank
506;printed fleece sweater
507;detective's coat
513;baggy shirt
516;open-collar shirt
518;meme shirt
524;quilted jacket
531;down ski jacket
544;worker's jacket
545;pom-pom sweater
547;humble sweater
548;anorak jacket
549;multipurpose vest
576;snowflake sweater
577;thread-worn sweater
581;samurai shirt
583;sleeved apron
585;thief's costume
616;energetic sweater
652;acid-washed jacket
653;music-fest shirt
654;traditional straw coat
655;old-school jacket
673;dance-team jacket
694;puffy-sleeve blouse
700;holiday sweater
743;vest with binoculars
745;shirt with camera
746;embroidered tank
807;sailor-style shirt
813;fischerhemd
823;flashy cardigan
866;sleeveless parka
901;staff uniform
903;oilskin coat
909;guide shirt
911;bulldog jacket
916;doublet
939;gingham picnic shirt
948;sports tank
