label;English
1008;tiara hair
1009;headband
1010;coin headpiece
1011;pigtail
1012;visual-punk wig
1040;snowperson head
1113;star head
674;headkerchief
675;fairy-tale hood
676;mummy mask
677;bunny hood
678;cat cap
679;ski mask
680;skeleton hood
682;bear cap
683;kappa cap
686;knight's helmet
687;frog cap
692;gold helmet
697;football helmet
698;firefighter's hat
699;welding mask
702;samurai helmet
704;milkmaid hat
706;pilot's cap
707;baby's hat
708;ninja hood
709;batter's helmet
711;wrestling mask
712;hot-dog hood
713;knit cap with earflaps
717;space helmet
718;paintball mask
738;zap helmet
741;turban
742;helmet with goggles
748;racing helmet
758;imp hood
759;sheep hood
790;King Tut mask
822;veiled gardening hat
825;headgear
826;mohawk wig
827;pompadour wig
828;samurai wig
829;matronly bun
830;bridal veil
831;bun wig
832;DJ cap
833;gothic headdress
834;veil
836;geisha wig
837;composer's wig
838;power helmet
900;paper bag
917;fox mask
918;elder mask
919;Noh mask
923;hockey mask
931;catcher's mask
933;kaffiyeh
934;stagehand hat
956;leaf mask
