label;English
014;chino pants
015;two-tone pants
016;gingham picnic skirt
017;denim pants
1091;soccer shorts
1092;explorer shorts
1093;animal-stripes skirt
1095;football pants
1129;Labelle shorts
1130;Labelle skirt
1187;polka-dot miniskirt
119;sweatpants
1190;green grass skirt
120;tweed skirt
1227;pirate pants
125;pleather pants
126;slacks
127;athletic pants
128;striped pants
129;worn-out jeans
140;track pants
142;kilt
144;sailor skirt
145;camo pants
148;cargo pants
149;cuffed pants
152;lace skirt
160;dress pants
161;flashy slacks
175;western pants
240;tweed pants
245;cargo shorts
248;jogging shorts
255;long pleated skirt
256;tennis skirt
265;denim skirt
269;worn-out cutoffs
270;long polka skirt
272;hickory-stripe pants
273;chain pants
274;down pants
275;long chino skirt
280;down skirt
283;denim cutoffs
287;sporty skirt
295;corduroy skirt
296;gaucho pants
299;pleather skirt
301;fringe skirt
305;denim painter's pants
308;silk floral-print pants
309;silk pants
310;kung-fu pants
312;grass skirt
327;bell-bottoms
331;frilly pants
332;yacht shorts
333;multicolor shorts
334;formal shorts
335;leopard miniskirt
336;long plaid skirt
339;noble pants
344;pineapple aloha shorts
347;cropped pants
349;frilly skirt
359;tweed frilly skirt
361;casual pants
365;camo skirt
369;culottes
374;ski pants
395;outdoor shorts
399;punk pants
401;vibrant shorts
404;patched-knee pants
409;tiered skirt
411;career skirt
412;draped skirt
419;cycling shorts
420;surfing shorts
421;lace shorts
422;athletic shorts
426;muay-thai shorts
427;dotted shorts
429;belted wraparound skirt
430;embroidered floral skirt
431;embroidered-pattern skirt
459;satin pants
468;corduroy pants
478;floral lace skirt
480;flare skirt
648;wide chino pants
649;acid-washed jeans
690;dance warm-up pants
726;comic shorts
727;traditional monpe pants
728;rain pants
729;knit skirt
730;faux-fur skirt
731;frilly sweatpants
732;long sweatskirt
733;boa skirt
734;boa shorts
735;pleather flare skirt
736;buttoned lace skirt
737;petal skirt
752;plover skirt
754;upcycled skirt
755;embellished denim pants
756;traditional suteteko pants
781;patchwork skirt
817;plaid shorts
818;colorful skirt
840;torn pants
841;three-quarter sweatpants
842;box-pleated skirt
843;faux-shearling skirt
844;striped shorts
845;knit pants
846;long denim skirt
847;apron skirt
848;terry-cloth shorts
849;basketball shorts
850;workout pants
851;bomber-style skirt
852;spangle shorts
853;striped bell-bottoms
854;comedian's pants
855;pearl skirt
860;pleather shorts
861;gobelin shorts
862;elephant-print pants
870;corte skirt
871;geometric-print pants
884;cut-pleather skirt
885;pleather patch skirt
890;buttoned wraparound skirt
896;tie-dye skirt
902;botanical shorts
905;school pants
906;lemon skirt
907;dreamy pants
908;floral skirt
912;long sailor skirt
