label;English
FishingConventionSpring;Spring Fishing Tourney
FishingConventionSummer;Summer Fishing Tourney
FishingConventionAutumn;Fall Fishing Tourney
FishingConventionWinter;Winter Fishing Tourney
InsectConvention1;Bug-Off
InsectConvention2;Bug-Off
InsectConvention3;Bug-Off
InsectConvention4;Bug-Off
Countdown;Countdown
MothersDay;Mother's Day
FathersDay;Father's Day
FathersDay2;Father's Day
WorldChild;International Children's Day
SummerSolstice;Summer Solstice
SouthernMidwinter;Summer Solstice
WinterSolstice;Winter Solstice
Midwinter;Winter Solstice
Tanabata;Tanabata
GyurouSyokujyo;Cowherd & Weaver Girl Day
GrapeHarvestFestival;Grape Harvest Festival
CowBoyFestival;Cowboy Festival
MidAutumnFestival;Moon-Viewing Day
Oomisoka;Ōmisoka
NewYearsEveGermany;Silvester
NewYearsEveSpain;Nochevieja
NewYearsEveWorld;New Year's Eve
RegionNewYear;Shōgatsu
RegionNewYear2;Shōgatsu
RegionNewYear3;Shōgatsu
RoshiaNewYear;New Year's Day
WorldNewYear;New Year's Day
KoreaNewYear;New Year's Day
ChinaNewYear;New Year's Day
RegionValentine;Valentine's Day
Setsubun;Setsubun
RegionLunarNewYearKR;Seollal
RegionLunarNewYearAsia;Lunar New Year
RegionBigGame;Big Game Celebration
RegionBigGame2;Big Game Celebration
GroundhogDay;Groundhog Day
RegionHinamatsuri;Hinamatsuri
RegionPiDay;π Day
RegionShamrockDay;Shamrock Day
RegionEarthDay;Nature Day
RegionAprilFool;April Fools' Day
RegionProm;Prom
RegionProm2;Prom
RegionTreeDay;Singmogil
RegionChildrensDay;Children's Day
RegionCheeseFestival;Cheese Rolling
RegionDragonBoatFestival;Dano Festival
RegionDragonBoatFestivalCh;Dragon Boat Festival
RegionMarineDay;Marine Day
RegionParisFestival;Le 14 juillet
RegionJuneBride;Wedding Season
RegionJuneBride2;Wedding Season
