label;English
Smiling;Happiness
Laughing;Laughter
HappyFlower;Joy
Love;Love
HappyDance;Glee
Outraged;Aggravation
Worried;Worry
Sighing;Sighing
Thinking;Thought
SadSpiral;Sadness
Frantic;Distress
Crying;Sorrow
Shocked;Amazed
Aha;Surprise
Surprised;Shocked
ColdChill;Cold Chill
Shaking;Fearful
Nodding;Agreement
IdeaBulb;Inspiration
QuestionMark;Curiosity
BrokenHeart;Heartbreak
Sleepy;Sleepy
Blushing;Bashfulness
OhGeez;Resignation
Scheming;Mischief
Clapping;Delight
Sneezing;Sneezing
Greeting;Greetings
SmugFace;Pride
WrySmile;Sheepishness
Hesitate;Shyness
Negative;Disagreement
Oops;Mistaken
Dance;Flourish
AbsentMindedness;Daydreaming
Shaki;Showmanship
Grin;Smirking
Hello;Pleased
Assent;Confident
Pardon;Bewilderment
Apologize;Apologetic
Sleep;Dozing
Cheering;Encouraging
Silent;Intense
AddPrank;Scare
AddScaring;Haunt
AddSitDown;Sit Down
AddWaveHands;Wave Goodbye
AddGymnastics;Work Out
AddYoga;Yoga
AddHereYouGo;Here You Go
AddTakePictures;Take a Picture
AddSmell;Sniff Sniff
AddPraise;Ta-da
AddExcited;Excited
