label;English
Trex;T. Rex
Archelon;Archelon
Ankiro;Ankylosaurus
Iguanodon;Iguanodon
Ophthalmosaurus;Ophthalmosaurus
Stego;Stegosaurus
Spino;Spinosaurus
Diplodocus;Diplodocus
Dimetro;Dimetrodon
Tricera;Triceratops
Pachy;Pachycephalosaurus
Parasauro;Parasaurolophus
Futaba;Plesiosaurus
Pterano;Pteranodon
Brontotherium;Megacerops
Mammoth;Mammoth
Deinonychus;Deinonychus
Smilodon;Sabertooth Tiger
Megaloceros;Megaloceros
Brachiosaurus;Brachiosaurus
Quetzalcoatlus;Quetzalcoatlus
FootPrint;dinosaur track
Ammonite;ammonite
Droop;coprolite
Amber;amber
Trilobite;trilobite
Archeopteryx;archaeopteryx
Australopithecus;australopith
Anomalocaris;anomalocaris
Dunkleosteus;dunkleosteus
FirstFish;myllokunmingia
FirstAmphibian;eusthenopteron
FirstFourLegs;acanthostega
FirstMammal;juramaia
Shark;shark-tooth pattern
