label;English
Balloon_07869;blue balloon
Balloon_13123;red balloon
Balloon_13124;yellow balloon
Balloon_13125;green balloon
Balloon_13126;pink balloon
BigbagPresent_13836;magic bag
BlowBubble_04386;bubble blower
BlowBubble_04386_pl;bubble blowers
DummyCardboard_04645;delivery
DummyDIYRecipe_09046;Vaulting Pole Recipe
DummyDIYRecipe_09047;Flimsy Shovel Recipe
DummyDIYRecipe_09048;Flimsy Watering Can Recipe
DummyDIYRecipe_10309;Slingshot Recipe
DummyDIYRecipe_12294;Flimsy Axe Recipe
DummyDIYRecipe_12327;Ladder Recipe
DummyHowtoBook_09049;Top 8 Pop Hairstyles
DummyHowtoBook_09050;Top 8 Cool Hairstyles
DummyHowtoBook_09051;Top 8 Stylish Hair Colors
DummyHowtoBook_09052;Pocket Organization Guide
DummyHowtoBook_09221;Pretty Good Tools Recipes
DummyHowtoBook_09616;Tool Ring: It's Essential!
DummyHowtoBook_11140;Ultimate Pocket Stuffing
DummyHowtoBook_12185;Custom Design Pro Editor
DummyHowtoBook_13195;Custom Design Pro Editor+
DummyHowtoBook_13256;Body-Paint Costume Tips
DummyHowtoBook_13257;Exploring New Eye Colors
DummyHowtoBook_13610;Hip Reaction Collection
DummyHowtoBook_13766;Top 6 Stylish Hairstyles
DummyHowtoBook_14030;Viva Festivale Reaction Set
DummyHowtoBook_14158;Custom Designs Portal
DummyPresentbox_04480;present
DummyRecipe_02695;ダミーDIYレシピ
DummyRecipe_05603;DIY for Beginners
DummyRecipe_05604;Test Your DIY Skills
DummyRecipe_05605;Wildest Dreams DIY
DummyRecipe_13787;Cozy Turkey Day DIY
DummyWrapping_07699;present
DummyWrapping_07700;present
DummyWrapping_07701;present
DummyWrapping_07702;present
DummyWrapping_07703;present
DummyWrapping_07704;present
DummyWrapping_07705;present
DummyWrapping_07706;present
DummyWrapping_07707;present
DummyWrapping_07708;present
DummyWrapping_07709;present
DummyWrapping_07710;present
DummyWrapping_07711;present
DummyWrapping_07712;present
DummyWrapping_07713;present
DummyWrapping_07714;present
DummyWrapping_13793;gift
DummyWrappingOtoshidama_14042;lucky money
DummyWrappingOtoshidama_14043;sebaetdon
FierworkHand_05743;red sparkler
FierworkHand_05743_pl;red sparklers
FierworkHand_12974;blue sparkler
FierworkHand_12974_pl;blue sparklers
FireworkM_13106;fountain firework
FishBait_04549;fish bait
FishBait_04549_pl;fish bait
HandheldPennant_13128;Nook Inc. handheld pennant
Honeycomb_03263;wasp nest
Honeycomb_03263_pl;wasp nests
HousingKit_02750;tent
HousingKit_02755;Blathers's tent marker
HousingKit_02756;shop construction kit
HousingKit_02757;'s tent
HousingKit_03349;housing kit
HousingKit_04311;incline marker kit
HousingKit_04411;tailors construction kit
HousingKit_05166;campsite construction kit
HousingKit_05357;'s kit
HousingKit_05358;moving kit
HousingKit_05359;tailors moving kit
HousingKit_05360;shop moving kit
HousingKit_05361;museum moving kit
HousingKit_06841;campsite moving kit
HousingKit_13346;transfer kit
HousingKitBirdge_04310;bridge marker kit
HousingKitBirdge_07211;bridge construction kit
HousingKitRcoQuest_05827;plot 1 housing kit
HousingKitRcoQuest_05828;plot 2 housing kit
HousingKitRcoQuest_05829;plot 3 housing kit
JuiceFuzzyapple_13835;sparkling cider
JuiceFuzzyapple_14028;shamrock soda
LicenseItem_08773;stone path permit
LicenseItem_08774;brick path permit
LicenseItem_08775;dark dirt path permit
LicenseItem_08776;arched tile path permit
LicenseItem_08777;sand path permit
LicenseItem_08778;terra-cotta tile permit
LicenseItem_08779;wooden path permit
LicenseItem_08780;waterscaping permit
LicenseItem_08781;cliff construction permit
LicenseItem_09771;custom design path permit
MaracasCarnival_13958;maracas
Medicine_02777;medicine
Medicine_02777_pl;medicine
Megaphone_13913;football cheer megaphone
Megaphone_14013;fiery cheer megaphone
Megaphone_14014;starry cheer megaphone
Megaphone_14015;glittery cheer megaphone
MessageBottle_05793;message bottle
MessageBottle_12544;egg message bottle
MilePlaneTicket_05851;Nook Miles Ticket
MilePlaneTicket_05851_pl;Nook Miles Tickets
MilePlaneTicket_09964;Bell voucher
MilePlaneTicket_09964_pl;Bell vouchers
MilePlaneTicket_13228;Dream Bell exchange ticket
MilePlaneTicket_13228_pl;Dream Bell exchange tickets
Ocarina_05320;ocarina
Otoshidama_13954;lucky red envelope
Otoshidama_13954_pl;lucky red envelopes
Otoshidama_13955;bokjumeoni lucky pouch
Otoshidama_13955_pl;bokjumeoni lucky pouches
Panflute_05517;pan flute
Partyhorn_05742;tweeter
PartyPopper_02753;party popper
PartyPopper_02753_pl;party poppers
PitFallSeed_02578;pitfall seed
PitFallSeed_02578_pl;pitfall seeds
QuestChristmasPresentbox_13869;someone's gift
QuestWrapping_04245;delivery box
