label;English
Picture_00002;scenic painting
Picture_00006;graceful painting
Picture_00010;quaint painting
Picture_00014;basic painting
Picture_00018;famous painting
Picture_00020;perfect painting
Picture_00024;serene painting
Picture_00028;wistful painting
Picture_00032;moving painting
Picture_00034;warm painting
Picture_00038;dynamic painting
Picture_00042;jolly painting
Picture_00044;common painting
Picture_00046;proper painting
Picture_00048;nice painting
Picture_00050;flowery painting
Picture_00052;moody painting
Picture_00056;amazing painting
Picture_00066;scary painting
Picture_00068;worthy painting
Picture_00072;solemn painting
Picture_00078;calm painting
Picture_12618;twinkling painting
Picture_12619;academic painting
Picture_12621;sinking painting
Picture_12622;detailed painting
Picture_12624;glowing painting
Picture_12625;mysterious painting
PictureFake_00005;graceful painting
PictureFake_00009;quaint painting
PictureFake_00013;basic painting
PictureFake_00017;famous painting
PictureFake_00023;serene painting
PictureFake_00027;wistful painting
PictureFake_00031;moving painting
PictureFake_00041;jolly painting
PictureFake_00055;amazing painting
PictureFake_00065;scary painting
PictureFake_00071;solemn painting
PictureFake_12620;academic painting
PictureFake_12623;detailed painting
PictureFake_12629;scenic painting
Sculpture_00076;wild painting right half
Sculpture_01331;motherly statue
Sculpture_01333;gallant statue
Sculpture_01335;robust statue
Sculpture_01337;ancient statue
Sculpture_01339;great statue
Sculpture_01341;beautiful statue
Sculpture_01343;mystic statue
Sculpture_01345;valiant statue
Sculpture_12533;rock-head statue
Sculpture_12535;informative statue
Sculpture_12537;tremendous statue
Sculpture_12539;warrior statue
Sculpture_12541;familiar statue
Sculpture_12570;wild painting left half
SculptureFake_00075;wild painting right half
SculptureFake_01332;motherly statue
SculptureFake_01334;gallant statue
SculptureFake_01336;robust statue
SculptureFake_01338;ancient statue
SculptureFake_01342;beautiful statue
SculptureFake_01344;mystic statue
SculptureFake_01346;valiant statue
SculptureFake_12534;rock-head statue
SculptureFake_12536;informative statue
SculptureFake_12538;tremendous statue
SculptureFake_12540;warrior statue
SculptureFake_12571;wild painting left half
