label;English
RoomFloor_04797;basement flooring
RoomFloor_04950;ship deck
RoomFloor_04951;concrete flooring
RoomFloor_04952;green rubber flooring
RoomFloor_04953;arabesque flooring
RoomFloor_04954;blue rubber flooring
RoomFloor_04955;jointed-mat flooring
RoomFloor_04956;pastel puzzle flooring
RoomFloor_04957;colorful puzzle flooring
RoomFloor_04958;rose flooring
RoomFloor_04959;leopard-print flooring
RoomFloor_04960;steel flooring
RoomFloor_04961;giraffe-print flooring
RoomFloor_04962;zebra-print flooring
RoomFloor_04963;stripe flooring
RoomFloor_04964;bamboo flooring
RoomFloor_04965;beige desert-tile flooring
RoomFloor_04966;blue desert-tile flooring
RoomFloor_04967;rattan flooring
RoomFloor_04968;lunar surface
RoomFloor_04969;cork flooring
RoomFloor_04970;sandy-beach flooring
RoomFloor_04971;terra-cotta flooring
RoomFloor_04972;hexagonal floral flooring
RoomFloor_04973;random-square-tile flooring
RoomFloor_04974;white-brick flooring
RoomFloor_04975;red-brick flooring
RoomFloor_04976;black-brick flooring
RoomFloor_04977;floral rush-mat flooring
RoomFloor_04978;gravel flooring
RoomFloor_04979;backyard lawn
RoomFloor_04980;field flooring
RoomFloor_04981;dirt flooring
RoomFloor_04982;boxing-ring mat
RoomFloor_04983;Saharah's desert
RoomFloor_04984;western desert
RoomFloor_04985;sandlot
RoomFloor_04986;money flooring
RoomFloor_04987;cubic parquet flooring
RoomFloor_04988;paintball flooring
RoomFloor_04989;ski-slope flooring
RoomFloor_04990;colored-leaves flooring
RoomFloor_04991;light wood-pattern flooring
RoomFloor_04992;dark wood-pattern flooring
RoomFloor_04993;floral mosaic-tile flooring
RoomFloor_04994;argyle tile flooring
RoomFloor_04995;patchwork-tile flooring
RoomFloor_04996;racetrack flooring
RoomFloor_04997;parking flooring
RoomFloor_04998;arched-brick flooring
RoomFloor_04999;honeycomb flooring
RoomFloor_05000;simple red flooring
RoomFloor_05001;simple blue flooring
RoomFloor_05003;simple purple flooring
RoomFloor_05004;simple white flooring
RoomFloor_05005;daisy meadow
RoomFloor_05006;wildflower meadow
RoomFloor_05007;crosswalk flooring
RoomFloor_05008;sidewalk flooring
RoomFloor_05009;train-station flooring
RoomFloor_05010;scramble crosswalk
RoomFloor_05011;dig-site flooring
RoomFloor_05012;imperial tile
RoomFloor_05013;sumo ring
RoomFloor_05015;camo flooring
RoomFloor_05016;blue camo flooring
RoomFloor_05017;purple camo flooring
RoomFloor_05018;common flooring
RoomFloor_05019;pine-board flooring
RoomFloor_05020;white mosaic-tile flooring
RoomFloor_05021;golden flooring
RoomFloor_05022;light parquet flooring
RoomFloor_05023;monochromatic dot flooring
RoomFloor_05024;marine pop flooring
RoomFloor_05025;dark parquet flooring
RoomFloor_05026;mint dot flooring
RoomFloor_05027;red dot flooring
RoomFloor_05028;blue dot flooring
RoomFloor_05030;water flooring
RoomFloor_05031;flagstone flooring
RoomFloor_05032;birch flooring
RoomFloor_05033;natural-block flooring
RoomFloor_05034;lobby flooring
RoomFloor_05035;dark-block flooring
RoomFloor_05036;aqua tile flooring
RoomFloor_05037;colorful mosaic-tile flooring
RoomFloor_05038;brown honeycomb tile
RoomFloor_05039;tatami
RoomFloor_05040;blue honeycomb tile
RoomFloor_05041;green honeycomb tile
RoomFloor_05042;white honeycomb tile
RoomFloor_05043;orange retro flooring
RoomFloor_05044;modern wood flooring
RoomFloor_05045;green retro flooring
RoomFloor_05046;gray vinyl flooring
RoomFloor_05047;red-and-black vinyl flooring
RoomFloor_05048;green vinyl flooring
RoomFloor_05049;wooden-knot flooring
RoomFloor_05050;dark-chocolates flooring
RoomFloor_05051;palace tile
RoomFloor_05052;white-chocolates flooring
RoomFloor_05053;berry-chocolates flooring
RoomFloor_05054;pyramid tile
RoomFloor_05056;sakura-wood flooring
RoomFloor_05057;blue-paint flooring
RoomFloor_05058;green-paint flooring
RoomFloor_05059;pink-paint flooring
RoomFloor_05060;white-paint flooring
RoomFloor_05061;light herringbone flooring
RoomFloor_05062;dark herringbone flooring
RoomFloor_05063;rosewood flooring
RoomFloor_05064;gold iron-parquet flooring
RoomFloor_05065;brown iron-parquet flooring
RoomFloor_05066;black iron-parquet flooring
RoomFloor_05067;monochromatic tile flooring
RoomFloor_05068;colorful tile flooring
RoomFloor_05069;stone tile
RoomFloor_05070;cute-paint flooring
RoomFloor_05071;cool-paint flooring
RoomFloor_05073;yellow floral flooring
RoomFloor_05074;blue floral flooring
RoomFloor_05075;brown floral flooring
RoomFloor_05076;kitschy tile
RoomFloor_05077;tatami flooring
RoomFloor_05078;rush tatami flooring
RoomFloor_05079;rush tatami
RoomFloor_05080;gray argyle-tile flooring
