label;English
Ftr_00080;clackercart
Ftr_00083;rocking horse
Ftr_00085;train set
Ftr_00086;elephant slide
Ftr_00088;ringtoss
Ftr_00109;moss ball
Ftr_00131;lucky cat
Ftr_00132;succulent plant
Ftr_00144;manhole cover
Ftr_00146;cone
Ftr_00287;exercise bike
Ftr_00290;treadmill
Ftr_00330;barbecue
Ftr_00331;birdbath
Ftr_00333;birdhouse
Ftr_00335;Mr. Flamingo
Ftr_00336;Mrs. Flamingo
Ftr_00338;lawn mower
Ftr_00343;tiki torch
Ftr_00383;acoustic guitar
Ftr_00530;grass standee
Ftr_00531;hedge standee
Ftr_00532;mountain standee
Ftr_00533;tree standee
Ftr_00546;stadiometer
Ftr_00664;beach chair
Ftr_00665;wave breaker
Ftr_00667;shaved-ice maker
Ftr_00669;ukulele
Ftr_00676;tall lantern
Ftr_00677;deer scare
Ftr_00682;boomerang
Ftr_00683;bottled ship
Ftr_00685;Dala horse
Ftr_00688;pagoda
Ftr_00689;paper tiger
Ftr_00690;hula doll
Ftr_00693;Statue of Liberty
Ftr_00698;moai statue
Ftr_00700;Tower of Pisa
Ftr_00704;tapestry
Ftr_00710;bamboo bench
Ftr_00716;screen
Ftr_00717;clay furnace
Ftr_00722;hearth
Ftr_00724;kettle
Ftr_00725;paper lantern
Ftr_00729;garden rock
Ftr_00730;tall garden rock
Ftr_00739;tea table
Ftr_00742;fireplace
Ftr_00787;tape deck
Ftr_00790;hi-fi stereo
Ftr_00791;jukebox
Ftr_00793;high-end stereo
Ftr_00794;phonograph
Ftr_00796;retro stereo
Ftr_00805;mush lamp
Ftr_00808;mush table
Ftr_00832;modern office chair
Ftr_00833;upright locker
Ftr_00839;safe
Ftr_00840;office desk
Ftr_00846;alto saxophone
Ftr_00849;amp
Ftr_00863;billiard table
Ftr_00864;bingo wheel
Ftr_00865;birdcage
Ftr_00867;blossom lantern
Ftr_00870;book stands
Ftr_00875;breaker
Ftr_00880;wooden bucket
Ftr_00889;camp stove
Ftr_00891;holiday candle
Ftr_00896;cat tower
Ftr_00907;vacuum cleaner
Ftr_00908;upright vacuum
Ftr_00915;cuckoo clock
Ftr_00918;coffee cup
Ftr_00920;coffee grinder
Ftr_00928;pot rack
Ftr_00929;air conditioner
Ftr_00931;cornucopia
Ftr_00937;dartboard
Ftr_00941;DJ's turntable
Ftr_00950;effects rack
Ftr_00954;espresso maker
Ftr_00955;exit sign
Ftr_00957;ventilation fan
Ftr_00971;snack machine
Ftr_00975;fruit basket
Ftr_00981;go board
Ftr_00987;harp
Ftr_00988;hinaningyo
Ftr_00997;incense burner
Ftr_00998;kitchen island
Ftr_01004;kadomatsu
Ftr_01005;kagamimochi
Ftr_01016;carp banner
Ftr_01023;pile of leaves
Ftr_01029;low screen
Ftr_01032;magazine rack
Ftr_01042;metronome
Ftr_01043;microwave
Ftr_01045;silver mic
Ftr_01050;mixer
Ftr_01054;moon
Ftr_01058;music stand
Ftr_01081;upright piano
Ftr_01082;picnic basket
Ftr_01087;pinball machine
Ftr_01092;popcorn machine
Ftr_01103;rocking chair
Ftr_01111;outdoor bath
Ftr_01112;colorful wheel
Ftr_01116;sandbox
Ftr_01117;sand castle
Ftr_01120;scarecrow
Ftr_01124;sea globe
Ftr_01125;revolving spice rack
Ftr_01126;server
Ftr_01127;old sewing machine
Ftr_01128;sewing machine
Ftr_01131;outdoor air conditioner
Ftr_01143;smoker
Ftr_01145;snow globe
Ftr_01149;soccer goal
Ftr_01153;spinning wheel
Ftr_01157;brick oven
Ftr_01161;cream and sugar
Ftr_01165;surveillance camera
Ftr_01170;swinging bench
Ftr_01171;synthesizer
Ftr_01177;foosball table
Ftr_01181;tennis table
Ftr_01182;bamboo grass
Ftr_01185;phone box
Ftr_01186;telescope
Ftr_01189;tire stack
Ftr_01199;tricycle
Ftr_01200;gold fish trophy
Ftr_01201;silver fish trophy
Ftr_01202;bronze fish trophy
Ftr_01203;gold bug trophy
Ftr_01204;silver bug trophy
Ftr_01205;bronze bug trophy
Ftr_01211;typewriter
Ftr_01217;standing toilet
Ftr_01221;video camera
Ftr_01227;deluxe washer
Ftr_01229;bathroom sink
Ftr_01232;water cooler
Ftr_01234;portable toilet
Ftr_01241;DIY workbench
Ftr_01243;flashy-flower sign
Ftr_01263;pear wardrobe
Ftr_01266;barrel
Ftr_01268;pirate-ship cannon
Ftr_01273;pirate-ship helm
Ftr_01277;cacao tree
Ftr_01288;fan palm
Ftr_01308;school chair
Ftr_01317;anatomical model
Ftr_01319;microscope
Ftr_01326;skeleton
Ftr_01328;school desk
Ftr_01329;podium
Ftr_01330;basic teacher's desk
Ftr_01348;hamster cage
Ftr_01411;globe
Ftr_01412;TV camera
Ftr_01429;campfire
Ftr_01430;bonfire
Ftr_01432;lantern
Ftr_01433;campfire cookware
Ftr_01434;sleeping bag
Ftr_01439;asteroid
Ftr_01440;lunar lander
Ftr_01441;rocket
Ftr_01442;lunar rover
Ftr_01443;satellite
Ftr_01444;space shuttle
Ftr_01445;astronaut suit
Ftr_01447;flying saucer
Ftr_01449;cello
Ftr_01452;weight bench
Ftr_01456;judge's bell
Ftr_01495;dolly
Ftr_01499;Papa bear
Ftr_01500;Mama bear
Ftr_01501;Baby bear
Ftr_01504;giant teddy bear
Ftr_01507;teacup ride
Ftr_01509;robot hero
Ftr_01557;wooden-block bed
Ftr_01558;wooden-block bookshelf
Ftr_01559;wooden-block bench
Ftr_01561;wooden-block chest
Ftr_01565;wooden-block table
Ftr_01567;oil barrel
Ftr_01598;exercise ball
Ftr_01606;serving cart
Ftr_01620;hammock
Ftr_01621;lawn chair
Ftr_01624;garden gnome
Ftr_01625;iron garden bench
Ftr_01626;iron garden chair
Ftr_01627;iron garden table
Ftr_01628;garden lantern
Ftr_01631;garden faucet
Ftr_01632;golf bag
Ftr_01644;rock guitar
Ftr_01645;electric guitar
Ftr_01652;matryoshka
Ftr_01708;cassette player
