label;English
Bush_02860;young white azalea
Bush_02861;white-azalea bush
Bush_03021;young red hibiscus
Bush_03022;red-hibiscus bush
Bush_03026;young holly
Bush_03027;holly bush
Bush_03787;young pink azalea
Bush_03788;pink-azalea bush
Bush_03791;young yellow hibiscus
Bush_03792;yellow-hibiscus bush
Bush_03795;young pink hydrangea
Bush_03796;pink-hydrangea bush
Bush_03799;young blue hydrangea
Bush_03800;blue-hydrangea bush
Bush_12477;young yellow tea olive
Bush_12478;yellow-tea-olive bush
Bush_12481;young orange tea olive
Bush_12482;orange-tea-olive bush
Bush_12488;young red camellia
Bush_12489;red-camellia bush
Bush_12491;young pink camellia
Bush_12492;pink-camellia bush
Bush_12747;white-azalea nursery
Bush_12748;pink-azalea nursery
Bush_12749;blue-hydrangea nursery
Bush_12750;pink-hydrangea nursery
Bush_12751;yellow-hibiscus nursery
Bush_12752;red-hibiscus nursery
Bush_12753;yellow-tea-olive nursery
Bush_12754;orange-tea-olive nursery
Bush_12755;red-camellia nursery
Bush_12756;pink-camellia nursery
Bush_12757;holly nursery
BushSeedling_02820;white-azalea start
BushSeedling_02820_pl;white-azalea starts
BushSeedling_03019;red-hibiscus start
BushSeedling_03019_pl;red-hibiscus starts
BushSeedling_03024;holly start
BushSeedling_03024_pl;holly starts
BushSeedling_03786;pink-azalea start
BushSeedling_03786_pl;pink-azalea starts
BushSeedling_03790;yellow-hibiscus start
BushSeedling_03790_pl;yellow-hibiscus starts
BushSeedling_03794;pink-hydrangea start
BushSeedling_03794_pl;pink-hydrangea starts
BushSeedling_03798;blue-hydrangea start
BushSeedling_03798_pl;blue-hydrangea starts
BushSeedling_12476;yellow-tea-olive start
BushSeedling_12476_pl;yellow-tea-olive starts
BushSeedling_12480;orange-tea-olive start
BushSeedling_12480_pl;orange-tea-olive starts
BushSeedling_12487;red-camellia start
BushSeedling_12487_pl;red-camellia starts
BushSeedling_12490;pink-camellia start
BushSeedling_12490_pl;pink-camellia starts
Flower_02304;red cosmos
Flower_02304_pl;red cosmos
Flower_02305;white cosmos
Flower_02305_pl;white cosmos
Flower_02863;yellow cosmos
Flower_02863_pl;yellow cosmos
Flower_02867;pink cosmos
Flower_02867_pl;pink cosmos
Flower_02871;orange cosmos
Flower_02871_pl;orange cosmos
Flower_02875;black cosmos
Flower_02875_pl;black cosmos
Flower_02879;white tulips
Flower_02879_pl;white tulips
Flower_02883;red tulips
Flower_02883_pl;red tulips
Flower_02887;yellow tulips
Flower_02887_pl;yellow tulips
Flower_02891;pink tulips
Flower_02891_pl;pink tulips
Flower_02895;orange tulips
Flower_02895_pl;orange tulips
Flower_02899;purple tulips
Flower_02899_pl;purple tulips
Flower_02903;black tulips
Flower_02903_pl;black tulips
Flower_02907;white pansies
Flower_02907_pl;white pansies
Flower_02911;red pansies
Flower_02911_pl;red pansies
Flower_02915;yellow pansies
Flower_02915_pl;yellow pansies
Flower_02919;orange pansies
Flower_02919_pl;orange pansies
Flower_02923;purple pansies
Flower_02923_pl;purple pansies
Flower_02927;blue pansies
Flower_02927_pl;blue pansies
Flower_02931;white roses
Flower_02931_pl;white roses
Flower_02935;red roses
Flower_02935_pl;red roses
Flower_02939;yellow roses
Flower_02939_pl;yellow roses
Flower_02943;pink roses
Flower_02943_pl;pink roses
Flower_02947;orange roses
Flower_02947_pl;orange roses
Flower_02951;purple roses
Flower_02951_pl;purple roses
Flower_02955;black roses
Flower_02955_pl;black roses
Flower_02959;blue roses
Flower_02959_pl;blue roses
Flower_02963;gold roses
Flower_02963_pl;gold roses
Flower_02979;white lilies
Flower_02979_pl;white lilies
Flower_02983;red lilies
Flower_02983_pl;red lilies
Flower_02987;yellow lilies
Flower_02987_pl;yellow lilies
Flower_02991;pink lilies
Flower_02991_pl;pink lilies
Flower_02995;orange lilies
Flower_02995_pl;orange lilies
Flower_02999;black lilies
Flower_02999_pl;black lilies
Flower_03709;white windflowers
Flower_03709_pl;white windflowers
Flower_03713;orange windflowers
Flower_03713_pl;orange windflowers
Flower_03717;blue windflowers
Flower_03717_pl;blue windflowers
Flower_03720;pink windflowers
Flower_03720_pl;pink windflowers
Flower_03723;red windflowers
Flower_03723_pl;red windflowers
Flower_03727;purple windflowers
Flower_03727_pl;purple windflowers
Flower_03730;white hyacinths
Flower_03730_pl;white hyacinths
Flower_03734;yellow hyacinths
Flower_03734_pl;yellow hyacinths
Flower_03738;pink hyacinths
Flower_03738_pl;pink hyacinths
Flower_03741;orange hyacinths
Flower_03741_pl;orange hyacinths
Flower_03744;red hyacinths
Flower_03744_pl;red hyacinths
Flower_03748;blue hyacinths
Flower_03748_pl;blue hyacinths
Flower_03751;purple hyacinths
Flower_03751_pl;purple hyacinths
Flower_03754;white mums
Flower_03754_pl;white mums
Flower_03758;yellow mums
Flower_03758_pl;yellow mums
Flower_03762;purple mums
Flower_03762_pl;purple mums
Flower_03765;pink mums
Flower_03765_pl;pink mums
Flower_03768;red mums
Flower_03768_pl;red mums
Flower_05175;green mums
Flower_05175_pl;green mums
FlowerBud_02627;red-cosmos stems
FlowerBud_02628;red-cosmos buds
FlowerBud_02630;white-cosmos stems
FlowerBud_02631;white-cosmos buds
FlowerBud_02865;yellow-cosmos stems
FlowerBud_02866;yellow-cosmos buds
FlowerBud_02869;pink-cosmos stems
FlowerBud_02870;pink-cosmos buds
FlowerBud_02873;orange-cosmos stems
FlowerBud_02874;orange-cosmos buds
FlowerBud_02877;black-cosmos stems
FlowerBud_02878;black-cosmos buds
FlowerBud_02881;white-tulip stems
FlowerBud_02882;white-tulip buds
FlowerBud_02885;red-tulip stems
FlowerBud_02886;red-tulip buds
FlowerBud_02889;yellow-tulip stems
FlowerBud_02890;yellow-tulip buds
FlowerBud_02893;pink-tulip stems
FlowerBud_02894;pink-tulip buds
FlowerBud_02897;orange-tulip stems
FlowerBud_02898;orange-tulip buds
FlowerBud_02901;purple-tulip stems
FlowerBud_02902;purple-tulip buds
FlowerBud_02905;black-tulip stems
FlowerBud_02906;black-tulip buds
FlowerBud_02909;white-pansy stems
FlowerBud_02910;white-pansy buds
FlowerBud_02913;red-pansy stems
FlowerBud_02914;red-pansy buds
FlowerBud_02917;yellow-pansy stems
FlowerBud_02918;yellow-pansy buds
FlowerBud_02921;orange-pansy stems
FlowerBud_02922;orange-pansy buds
FlowerBud_02925;purple-pansy stems
FlowerBud_02926;purple-pansy buds
FlowerBud_02929;blue-pansy stems
FlowerBud_02930;blue-pansy buds
FlowerBud_02933;white-rose stems
FlowerBud_02934;white-rose buds
FlowerBud_02937;red-rose stems
FlowerBud_02938;red-rose buds
FlowerBud_02941;yellow-rose stems
FlowerBud_02942;yellow-rose buds
FlowerBud_02945;pink-rose stems
FlowerBud_02946;pink-rose buds
FlowerBud_02949;orange-rose stems
FlowerBud_02950;orange-rose buds
FlowerBud_02953;purple-rose stems
FlowerBud_02954;purple-rose buds
FlowerBud_02957;black-rose stems
FlowerBud_02958;black-rose buds
FlowerBud_02961;blue-rose stems
FlowerBud_02962;blue-rose buds
FlowerBud_02965;gold-rose stems
FlowerBud_02966;gold-rose buds
FlowerBud_02981;white-lily stems
FlowerBud_02982;white-lily buds
FlowerBud_02985;red-lily stems
FlowerBud_02986;red-lily buds
FlowerBud_02989;yellow-lily stems
FlowerBud_02990;yellow-lily buds
FlowerBud_02993;pink-lily stems
FlowerBud_02994;pink-lily buds
FlowerBud_02997;orange-lily stems
FlowerBud_02998;orange-lily buds
FlowerBud_03001;black-lily stems
FlowerBud_03002;black-lily buds
FlowerBud_03711;white-windflower stems
FlowerBud_03712;white-windflower buds
FlowerBud_03715;orange-windflower stems
FlowerBud_03716;orange-windflower buds
FlowerBud_03718;blue-windflower stems
FlowerBud_03719;blue-windflower buds
FlowerBud_03721;pink-windflower stems
FlowerBud_03722;pink-windflower buds
FlowerBud_03725;red-windflower stems
FlowerBud_03726;red-windflower buds
FlowerBud_03728;purple-windflower stems
FlowerBud_03729;purple-windflower buds
FlowerBud_03732;white-hyacinth stems
FlowerBud_03733;white-hyacinth buds
FlowerBud_03736;yellow-hyacinth stems
FlowerBud_03737;yellow-hyacinth buds
FlowerBud_03739;pink-hyacinth stems
FlowerBud_03740;pink-hyacinth buds
FlowerBud_03742;orange-hyacinth stems
FlowerBud_03743;orange-hyacinth buds
FlowerBud_03746;red-hyacinth stems
FlowerBud_03747;red-hyacinth buds
FlowerBud_03749;blue-hyacinth stems
FlowerBud_03750;blue-hyacinth buds
FlowerBud_03752;purple-hyacinth stems
FlowerBud_03753;purple-hyacinth buds
FlowerBud_03756;white-mum stems
FlowerBud_03757;white-mum buds
FlowerBud_03760;yellow-mum stems
FlowerBud_03761;yellow-mum buds
FlowerBud_03763;purple-mum stems
FlowerBud_03764;purple-mum buds
FlowerBud_03766;pink-mum stems
FlowerBud_03767;pink-mum buds
FlowerBud_03770;red-mum stems
FlowerBud_03771;red-mum buds
FlowerBud_03778;green-mum stems
FlowerBud_03779;green-mum buds
FlowerBud_03823;red-cosmos sprouts
FlowerBud_03824;red-cosmos plant
FlowerBud_03825;white-cosmos sprouts
FlowerBud_03826;white-cosmos plant
FlowerBud_03827;yellow-cosmos sprouts
FlowerBud_03828;yellow-cosmos plant
FlowerBud_03830;pink-cosmos plant
FlowerBud_03832;orange-cosmos plant
FlowerBud_03834;black-cosmos plant
FlowerBud_03835;white-tulip sprouts
FlowerBud_03836;white-tulip plant
FlowerBud_03837;red-tulip sprouts
FlowerBud_03838;red-tulip plant
FlowerBud_03839;yellow-tulip sprouts
FlowerBud_03840;yellow-tulip plant
FlowerBud_03842;pink-tulip plant
FlowerBud_03844;orange-tulip plant
FlowerBud_03846;purple-tulip plant
FlowerBud_03848;black-tulip plant
FlowerBud_03849;white-pansy sprouts
FlowerBud_03850;white-pansy plant
FlowerBud_03851;red-pansy sprouts
FlowerBud_03852;red-pansy plant
FlowerBud_03853;yellow-pansy sprouts
FlowerBud_03854;yellow-pansy plant
FlowerBud_03856;orange-pansy plant
FlowerBud_03858;purple-pansy plant
FlowerBud_03860;blue-pansy plant
FlowerBud_03861;white-rose sprouts
FlowerBud_03862;white-rose plant
FlowerBud_03863;red-rose sprouts
FlowerBud_03864;red-rose plant
FlowerBud_03865;yellow-rose sprouts
FlowerBud_03866;yellow-rose plant
FlowerBud_03868;pink-rose plant
