label;English
Umbrella_05861;Toad parasol
Umbrella_06840;leaf umbrella
Umbrella_06904;sunny parasol
Umbrella_06905;snowflake umbrella
Umbrella_06906;hydrangea umbrella
Umbrella_06907;strawberry umbrella
Umbrella_06908;kiwi umbrella
Umbrella_06909;watermelon umbrella
Umbrella_06910;pineapple umbrella
Umbrella_06911;grape umbrella
Umbrella_06912;orange umbrella
Umbrella_06913;raindrop umbrella
Umbrella_06914;mini-flower-print umbrella
Umbrella_06915;black lace umbrella
Umbrella_06916;striped umbrella
Umbrella_06917;tartan-check umbrella
Umbrella_06918;patterned vinyl umbrella
Umbrella_06919;bat umbrella
Umbrella_06923;camo umbrella
Umbrella_06924;ghost umbrella
Umbrella_06925;frog umbrella
Umbrella_06926;candy umbrella
Umbrella_07164;pink umbrella
Umbrella_07165;vinyl umbrella
Umbrella_07166;two-tone umbrella
Umbrella_07167;bear umbrella
Umbrella_07169;maple-leaf umbrella
Umbrella_07170;panda umbrella
Umbrella_07171;exquisite parasol
Umbrella_07172;logo umbrella
Umbrella_07173;spider umbrella
Umbrella_07174;mush umbrella
Umbrella_07175;fairy-tale umbrella
Umbrella_07176;pink shiny-bows parasol
Umbrella_07177;kabuki umbrella
Umbrella_07178;paper parasol
Umbrella_07179;rainbow umbrella
Umbrella_07180;gelato umbrella
Umbrella_07181;petal parasol
Umbrella_07182;busted umbrella
Umbrella_07183;purple chic umbrella
Umbrella_08767;ladybug umbrella
Umbrella_08768;fish umbrella
Umbrella_09560;DAL umbrella
Umbrella_09561;Nook Inc. umbrella
Umbrella_09945;cherry-blossom umbrella
Umbrella_09946;lacy parasol
Umbrella_09947;peach umbrella
Umbrella_09948;apple umbrella
Umbrella_09949;cherry umbrella
Umbrella_09950;pear umbrella
Umbrella_09951;melon umbrella
Umbrella_09952;mint umbrella
Umbrella_09953;picnic umbrella
Umbrella_09954;lemon umbrella
Umbrella_09955;eggy parasol
Umbrella_09956;blue dot parasol
Umbrella_09957;beach umbrella
Umbrella_09958;red umbrella
Umbrella_09959;blue umbrella
Umbrella_09960;green umbrella
Umbrella_12133;purple shiny-bows parasol
Umbrella_12134;blue shiny-bows parasol
Umbrella_12135;white shiny-bows parasol
Umbrella_12136;green chic umbrella
Umbrella_12137;black chic umbrella
Umbrella_12138;red chic umbrella
