label;English
BridgeItem_05912;stone bridge
BridgeItem_05913;suspension bridge
BridgeItem_05914;wooden bridge
BridgeItem_05915;brick bridge
BridgeItem_05916;zen bridge
BridgeItem_05917;log bridge
BridgeItem_05918;red zen bridge
BridgeItem_05919;iron bridge
SlopeItem_05863;stone staircase
SlopeItem_05864;red steel staircase
SlopeItem_05865;white-plank ramp
SlopeItem_05866;natural ramp
SlopeItem_05867;log staircase
SlopeItem_05868;blue-plank ramp
SlopeItem_05869;blue steel staircase
SlopeItem_05870;brick staircase
