label;English
InsectToy_05922;saw stag model
InsectToy_05924;grand h. hercules model
InsectToy_05927;wasp model
InsectToy_05928;honeybee model
InsectToy_05929;scarab beetle model
InsectToy_05935;flea model
InsectToy_05936;mosquito model
InsectToy_05938;horned dynastid model
InsectToy_05944;tiger butterfly model
InsectToy_07046;brown cicada model
InsectToy_07049;R. Brooke's birdwing model
InsectToy_07050;red dragonfly model
InsectToy_07051;grand Q. A. birdwing model
InsectToy_07052;pondskater model
InsectToy_07053;ant model
InsectToy_07054;pill bug model
InsectToy_07055;wharf roach model
InsectToy_07056;moth model
InsectToy_07057;diving beetle model
InsectToy_07058;darner dragonfly model
InsectToy_07059;grand goliath beetle model
InsectToy_07060;fly model
InsectToy_07061;orchid mantis model
InsectToy_07062;tiger beetle model
InsectToy_07063;evening cicada model
InsectToy_07064;cyclommatus stag model
InsectToy_07065;firefly model
InsectToy_07066;dung beetle model
InsectToy_07067;rice grasshopper model
InsectToy_07068;mantis model
InsectToy_07069;stinkbug model
InsectToy_07070;citrus long-horned b. model
InsectToy_07071;peacock butterfly model
InsectToy_07072;snail model
InsectToy_07073;grasshopper model
InsectToy_07074;earth-boring dung b. model
InsectToy_07075;horned atlas model
InsectToy_07076;walking leaf model
InsectToy_07077;cricket model
InsectToy_07078;giant cicada model
InsectToy_07079;spider model
InsectToy_07080;agrias butterfly model
InsectToy_07081;robust cicada model
InsectToy_07082;bagworm model
InsectToy_07083;miyama stag model
InsectToy_07084;yellow butterfly model
InsectToy_07085;common butterfly model
InsectToy_07086;emperor butterfly model
InsectToy_07087;walking stick model
InsectToy_07088;rainbow stag model
InsectToy_07089;mole cricket model
InsectToy_07090;grand b. dragonfly model
InsectToy_07091;monarch butterfly model
InsectToy_07092;giant stag model
InsectToy_07093;golden stag model
InsectToy_07094;scorpion model
InsectToy_07095;cicada shell model
InsectToy_07096;bell cricket model
InsectToy_07097;long locust model
InsectToy_07099;jewel beetle model
InsectToy_07101;tarantula model
InsectToy_07102;ladybug model
InsectToy_07103;migratory locust model
InsectToy_07104;walker cicada model
InsectToy_07105;violin beetle model
InsectToy_07108;hermit crab model
InsectToy_07109;grand Atlas moth model
InsectToy_07110;horned elephant model
InsectToy_07111;common bluebottle model
InsectToy_07112;paper kite butterfly model
InsectToy_07113;great purple emperor model
InsectToy_07114;drone beetle model
InsectToy_07115;grand giraffe stag model
InsectToy_07116;man-faced stink bug model
InsectToy_07117;M. sunset moth model
InsectToy_07118;blue weevil beetle model
InsectToy_07119;rosalia batesi beetle model
InsectToy_07120;giant water bug model
InsectToy_07121;damselfly model
InsectToy_07407;centipede model
