label;English
AutumnLeaf_07374;maple leaf
AutumnLeaf_07374_pl;maple leaves
CraftMaterial_02500;tree branch
CraftMaterial_02500_pl;tree branches
CraftMaterial_02501;bamboo piece
CraftMaterial_02501_pl;bamboo pieces
CraftMaterial_02767;softwood
CraftMaterial_02767_pl;softwood
CraftMaterial_02768;wood
CraftMaterial_02768_pl;wood
CraftMaterial_02769;hardwood
CraftMaterial_02769_pl;hardwood
CraftMaterial_05727;acorn
CraftMaterial_05727_pl;acorns
CraftMaterial_05728;pine cone
CraftMaterial_05728_pl;pine cones
CraftMaterial_05729;young spring bamboo
CraftMaterial_05729_pl;young spring bamboo
CraftMaterial_05730;red ornament
CraftMaterial_05730_pl;red ornaments
CraftMaterial_05731;blue ornament
CraftMaterial_05731_pl;blue ornaments
CraftMaterial_05732;gold ornament
CraftMaterial_05732_pl;gold ornaments
CraftPhoneCase_08760;customizable phone case kit
CraftRemake_02513;customization kit
CraftRemake_02513_pl;customization kits
Ore_02502;stone
Ore_02502_pl;stones
Ore_02505;gold nugget
Ore_02505_pl;gold nuggets
Ore_02511;iron nugget
Ore_02511_pl;iron nuggets
Ore_03090;clay
Ore_03090_pl;clay
Sakurapetal_05859;cherry-blossom petal
Sakurapetal_05859_pl;cherry-blossom petals
SnowCrystal_03539;snowflake
SnowCrystal_03539_pl;snowflakes
SnowCrystal_03540;large snowflake
SnowCrystal_03540_pl;large snowflakes
StarPiece_05983;star fragment
StarPiece_05983_pl;star fragments
StarPiece_05984;large star fragment
StarPiece_05984_pl;large star fragments
StarPiece_05985;Capricorn fragment
StarPiece_05985_pl;Capricorn fragments
StarPiece_05986;Aquarius fragment
StarPiece_05986_pl;Aquarius fragments
StarPiece_05987;Pisces fragment
StarPiece_05987_pl;Pisces fragments
StarPiece_05988;Aries fragment
StarPiece_05988_pl;Aries fragments
StarPiece_05989;Taurus fragment
StarPiece_05989_pl;Taurus fragments
StarPiece_05990;Gemini fragment
StarPiece_05990_pl;Gemini fragments
StarPiece_05991;Cancer fragment
StarPiece_05991_pl;Cancer fragments
StarPiece_05992;Leo fragment
StarPiece_05992_pl;Leo fragments
StarPiece_05993;Virgo fragment
StarPiece_05993_pl;Virgo fragments
StarPiece_05994;Libra fragment
StarPiece_05994_pl;Libra fragments
StarPiece_05995;Scorpius fragment
StarPiece_05995_pl;Scorpius fragments
StarPiece_05996;Sagittarius fragment
StarPiece_05996_pl;Sagittarius fragments
